POST /user/whatsapp/campaigns -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.MANAGE_CAMPAIGNS (Module: whatsapp, Controller: WhatsAppUserController)
PATCH /user/whatsapp/campaigns/:id/schedule -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.MANAGE_CAMPAIGNS (Module: whatsapp, Controller: WhatsAppUserController)
GET /whatsapp/variables/:module/:templateKey -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.TEMPLATE_MANAGE (Module: whatsapp, Controller: WhatsAppController)
GET /whatsapp/logs/:tenantId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SEND (Module: whatsapp, Controller: WhatsAppController)
POST /whatsapp/logs/:logId/retry -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SEND (Module: whatsapp, Controller: WhatsAppController)
GET /whatsapp/templates/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.TEMPLATE_MANAGE (Module: whatsapp, Controller: WhatsAppController)
POST /whatsapp/templates -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.TEMPLATE_MANAGE (Module: whatsapp, Controller: WhatsAppController)
PATCH /whatsapp/templates/:templateId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.TEMPLATE_MANAGE (Module: whatsapp, Controller: WhatsAppController)
DELETE /whatsapp/templates/:templateId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.TEMPLATE_MANAGE (Module: whatsapp, Controller: WhatsAppController)
GET /whatsapp/automations/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: WhatsAppController)
POST /whatsapp/automations -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: WhatsAppController)
PATCH /whatsapp/automations/:automationId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: WhatsAppController)
